content,toxic,source
了不得了不得，我要是匿名的话，也可以是本科985,0,ToxiCN
上海人讲上海话是不是对外地人的歧视，这个要分情况吧。如果是上海人自己互相之间讲上海话那当然不算歧视，如果是公共服务部门比如政府办事机构，外地人去办事故意讲他听不懂的上海话那不就是在刁难么？刚好前阵子我还在知乎上看到个问题，说是上海一个本地老太太去医院看病，医生是外地人听不懂上海话要求老太太讲普通话，结果老太太很不忿，回来还叫子女到网上发帖声讨这医生到上海工作居然不学上海话……还有，答主举得那个警察的例子，在警察在处理事情的时候，当事人双方都在，用其中一方听不懂的语言沟通，其实确实非常敏感。干嘛不用普通话啊？又不是少数民族地区，可能某一方根本听不懂普通话。,0,ToxiCN
为什么需要八年是三年，是国家出的费用，所以回国了，要不就在德国了。我姐去了以后去了补习班，然后考进和姐夫一起的学校。他们不是985／211学校，但是也算是学霸，年年拿奖学金那种，,0,ToxiCN
找黑哥哥可以，别留在中国就行，别让中国成为移民国家，乱得跟美国似的,1,ToxiCN
亚裔当然是去旧金山,0,CHSD
我很好奇为什么我的答案被踩到那么底下。我前面所有的答案加一起赞可能还没我多。本答案一没带节奏，二没黑人，只是感慨下马刺时运不济，命途多舛，为何答案如此靠下。我很好奇。,0,CHSD
消除黑人贫困？你还是努力一点实现共产主义吧,0,CHSD
这是人种攻击了啊 录音报警他一辈子毁灭,1,ToxiCN
大爆炸像女团前凸后翘 老友记就是御姐淑女风韵犹存 看个人喜好了 无意物化女性 说到物化女性 老友记提前20年就提出了不要物化女性的概念 很棒 但是也有在第8季第一集出现了种族歧视亚洲人的言论,0,CHSD
请搞清楚不负责和戴绿帽的区别，黑是拔屌无情不负责，帽控是生下来我养跟他姓，老贼是别有用心的生下来看性别决定干什么😆,1,ToxiCN
酒吧这个哪里歧视男性了，酒吧老板打的主意就是吸引妹子来，妹子喝醉了更容易被男性搭上，甚至被捡尸，有多少男男女女明明还是陌生人，酒吧出来就直接开房去了，老板就是想用这种“一夜情的可能性”来吸引更多男性来消费，,0,CHSD
这个东北骗子，怎么不归咎于它人品不好呢？哦，是它畜品不好。,0,CHSD
最惨就是我这种南京原下辖县的，不敢像苏北那么搞，也没城区的路子。,0,CHSD
很正常。我记得前段时间中国女留学生被姨妈的白人老公杀了，知乎上的男权+民族主义者都可以说“亚洲easy女人跪舔白人活该被杀”，“澳洲白人都是罪犯后代”，一棒子打死所有澳洲人和亚裔女性。,1,CHSD
白种人歧视黄种人,1,CHSD
小仙女敲可爱~一点都不像27呀像是十六七的少女 有一颗少女心就很棒啦~\\(≧▽≦)/~,0,CHSD
