content,toxic,source
你好,0,clean_neg
谢谢,0,clean_neg
再见,0,clean_neg
早上好,0,clean_neg
晚安,0,clean_neg
今天天气不错,0,clean_neg
这个产品质量很好,0,clean_neg
服务态度很棒,0,clean_neg
物流很快,0,clean_neg
收到了,0,clean_neg
包装完好,0,clean_neg
很满意,0,clean_neg
推荐购买,0,clean_neg
性价比高,0,clean_neg
好评,0,clean_neg
值得拥有,0,clean_neg
非常喜欢,0,clean_neg
会回购,0,clean_neg
客服很耐心,0,clean_neg
质量不错,0,clean_neg
符合描述,0,clean_neg
物美价廉,0,clean_neg
使用方便,0,clean_neg
效果很好,0,clean_neg
正品保证,0,clean_neg
真不错,0,clean_neg
五星好评,0,clean_neg
很实用,0,clean_neg
款式好看,0,clean_neg
颜色漂亮,0,clean_neg
